filename,class,total_points,ground_points,area_m2,area_km2,density_total_per_m2,density_ground_per_m2,ground_fraction,classification_histogram,returns_histogram,number_of_returns_histogram,n_withheld,n_synthetic,z_quantiles,intensity_quantiles,scan_angle_stats,mean_scan_angle,max_scan_angle
JAM_A02_2015_laz_2.laz,JAM_A02,14595662,145321,274459.9855999261,0.27445998559992607,53.17956265317217,0.5294797333839076,0.009956451444271593,"{1: 14450341, 2: 145321}","{1: 8935489, 2: 4419306, 3: 1104244, 4: 136623}","{1: 4521777, 2: 6626868, 3: 2900644, 4: 546373}",0,0,[ 91.49  93.93  96.75 116.11 133.28 138.68 148.14],[  1.   9.  30.  54. 280.],"{'mean': np.float64(8.179317868555739), 'max': np.int8(17), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.179317868555739,17
JAM_A02_2015_laz_3.laz,JAM_A02,40593723,270666,712812.8718001663,0.7128128718001663,56.94863912527698,0.3797153652913831,0.006667681109219768,"{1: 40323057, 2: 270666}","{1: 25812447, 2: 11648370, 3: 2786620, 4: 346286}","{1: 14157943, 2: 17725307, 3: 7324409, 4: 1386064}",0,0,[ 82.12  87.38  91.79 110.98 126.73 133.93 157.56],[  1.   9.  32.  51. 780.],"{'mean': np.float64(8.09741631729615), 'max': np.int8(17), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.09741631729615,17
JAM_A02_2015_laz_1.laz,JAM_A02,14733066,116982,286937.13060006645,0.2869371306000664,51.34597244068415,0.40769209532191825,0.007940098822607596,"{1: 14616084, 2: 116982}","{1: 9083333, 2: 4395446, 3: 1105971, 4: 148316}","{1: 4688879, 2: 6576243, 3: 2873667, 4: 594277}",0,0,[ 86.6   90.91  93.9  113.46 130.55 136.87 149.73],[  1.   8.  28.  53. 400.],"{'mean': np.float64(8.165583999963076), 'max': np.int8(20), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.165583999963076,20
JAM_A02_2015_laz_0.laz,JAM_A02,37919620,275576,712712.8728001895,0.7127128728001896,53.20462341449927,0.3866578120264404,0.007267372405103216,"{1: 37644044, 2: 275576}","{1: 23403293, 2: 11215694, 3: 2895499, 4: 405134}","{1: 12182271, 2: 16642111, 3: 7473725, 4: 1621513}",0,0,[ 89.03  91.92  92.52 113.11 129.67 135.43 150.09],[  1.   8.  29.  49. 240.],"{'mean': np.float64(8.122625622303177), 'max': np.int8(17), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.122625622303177,17
JAM_A02_2015_laz_4.laz,JAM_A02,38641305,343902,712612.8738001547,0.7126128738001547,54.224820264524965,0.4825930216024191,0.008899854702112157,"{1: 38297403, 2: 343902}","{1: 24587035, 2: 11223855, 3: 2533665, 4: 296750}","{1: 13358782, 2: 17381597, 3: 6712623, 4: 1188303}",0,0,[ 91.06  92.63  94.21 112.72 130.12 136.18 153.96],[  1.   9.  30.  49. 151.],"{'mean': np.float64(8.166756868071614), 'max': np.int8(17), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.166756868071614,17
JAM_A02_2015_laz_5.laz,JAM_A02,2478208,18675,41319.500400058896,0.0413195004000589,59.976717433797134,0.4519657744935701,0.007535687077113785,"{1: 2459533, 2: 18675}","{1: 1573434, 2: 721921, 3: 163532, 4: 19321}","{1: 851077, 2: 1116642, 3: 432965, 4: 77524}",0,0,[ 94.27  96.21  97.12 116.73 132.52 138.15 147.08],[  1.   9.  32.  55. 131.],"{'mean': np.float64(8.08761492174991), 'max': np.int8(16), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.08761492174991,16
JAM_A02_2015_laz_7.laz,JAM_A02,14848280,105684,287037.1296000432,0.2870371296000432,51.72947493130786,0.36818930062204785,0.0071175920712702075,"{1: 14742596, 2: 105684}","{1: 9456819, 2: 4283540, 3: 990500, 4: 117421}","{1: 5170256, 2: 6584237, 3: 2622287, 4: 471500}",0,0,[ 85.58  88.9   91.96 111.3  126.97 133.07 147.86],[  1.   9.  31.  52. 240.],"{'mean': np.float64(8.096579199745694), 'max': np.int8(17), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.096579199745694,17
JAM_A02_2015_laz_6.laz,JAM_A02,37293456,260881,712922.8707001524,0.7129228707001524,52.31064611992961,0.3659315905292702,0.006995355968081907,"{1: 37032575, 2: 260881}","{1: 23420671, 2: 10886751, 3: 2642276, 4: 343758}","{1: 12526097, 2: 16492357, 3: 6898963, 4: 1376039}",0,0,[ 90.85  93.49  97.22 117.93 138.26 145.63 171.44],[  1.  10.  33.  54. 520.],"{'mean': np.float64(8.0350796665238), 'max': np.int8(17), 'min': np.int8(0), 'p95': np.float64(15.0)}",8.0350796665238,17
JAM_A02_2013_laz_9.laz,JAM_A02,10881839,90556,273224.78120022826,0.27322478120022825,39.827423238104544,0.33143406539554526,0.008321755173918673,"{2: 90556, 3: 164986, 4: 680245, 5: 9946052}","{1: 5369943, 2: 5511896}","{1: 1898220, 2: 6921885, 3: 2061734}",0,0,[ 89.01  91.89  93.86 111.53 127.82 134.37 148.18],[  1.  14.  27.  53. 167.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
JAM_A02_2013_laz_8.laz,JAM_A02,20214793,287499,671386.3262005737,0.6713863262005737,30.10903292355841,0.42821694273545713,0.014222208458924116,"{2: 287499, 3: 631341, 4: 1116127, 5: 18179826}","{1: 10199238, 2: 10015555}","{1: 3773089, 2: 12855300, 3: 3586404}",0,0,[ 90.67  92.    93.52 111.13 128.96 135.17 153.55],[  1.  13.  26.  48. 167.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
