class12,DTPM_mean,DTPM_std,DTPM_min,DTPM_max,DTPM_count,DGPM_mean,DGPM_std,DGPM_min,DGPM_max,DGPM_count,GF_mean,GF_std,GF_min,GF_max,GF_count,AKM2_mean,AKM2_std,AKM2_min,AKM2_max,AKM2_count,MSAN_mean,MSAN_std,MSAN_min,MSAN_max,MSAN_count,MXSAN_mean,MXSAN_std,MXSAN_min,MXSAN_max,MXSAN_count
FST_A04_2014,34.38774726828134,13.585541613620665,19.194395079155168,52.903442626485656,12,0.7925767578123256,0.20870241654481836,0.5140660761509647,1.1708295046886332,12,0.024841584500248672,0.006247633969854143,0.016278359589717795,0.03427104273841659,12,0.2682306613083507,0.2731631696270319,0.003517057599943725,0.5903140968000807,12,8.514385015395947,1.6337301872191852,5.154212715389186,9.911900860868496,12,21.0,0.0,21,21,12
FST_A05_2014,40.07739563838157,6.396860376131147,31.872765369395303,47.728101672413125,16,0.8347962005956445,0.2129514344286749,0.5640472580137088,1.3265210616209377,16,0.02099297561781255,0.004891110496882204,0.014203801817098623,0.03036794445108458,16,0.21696801371258279,0.10045566722976697,0.061474282000055225,0.34293657060002075,16,9.179494862047614,0.41287806472644667,8.598546274989905,9.657774620808956,16,21.0,0.0,21,21,16
FST_A05_2015,53.10801309774807,3.6583796044023944,49.95980499544522,62.706866231662474,10,0.4573074585530265,0.051915828813441596,0.37028963273658705,0.5304903880283628,10,0.008656487091294744,0.0012264249637465904,0.0068377342664465764,0.010169767835502774,10,0.35040786948007335,0.0694333303435945,0.24946554780021649,0.4390956090000748,10,8.117611048995327,0.2619918223550769,7.794973720542408,8.424620857044026,10,17.0,0.0,17,17,10
FST_A06_2014,40.63818851759569,5.548548547941285,34.51706821462385,49.52447188704357,12,0.8005188582821403,0.14638173448560865,0.5646486399951964,0.9864184947186045,12,0.019968677650219455,0.004363466384050751,0.014931468423287353,0.027443086939654446,12,0.18594810141671417,0.12938074378944062,0.010344447499997245,0.3515264847001065,12,9.385488669465937,0.18690293506434608,8.992060863935691,9.701825600922076,12,21.0,0.0,21,21,12
FST_A06_2015,43.81911163543629,3.831180991476639,40.21319015678571,50.973280431321605,10,0.2796324414760183,0.030523751143541937,0.23830625991550097,0.3301430663792951,10,0.0063901031321079785,0.000548420087481554,0.005602461208854995,0.007164504763785056,10,0.2116182580199978,0.12156715764368936,0.025883270699893008,0.35079649200000856,10,7.7905538783064525,0.11643663761006137,7.631813741431326,7.959941524839268,10,17.3,0.4830458915396476,17,18,10
FST_A07_2015,54.057955799670076,4.13636083782468,48.29891899209839,58.8176005103005,6,0.4925199377753667,0.10808464817551015,0.361684386466309,0.666926423606144,6,0.009249910060023929,0.0025386578642456466,0.006161003669349737,0.012797555605646998,6,0.1186163583334273,0.12858779162868525,0.010500868000155667,0.35684643150005646,6,7.51433444863675,1.077496380322605,6.1634855902591905,8.794136562111872,6,19.333333333333332,1.5055453054181618,17,21,6
FST_A08_2015,48.61394586485906,7.165598288382533,37.95475409503549,56.3221169832957,6,0.46902125632783137,0.06587526527244641,0.3816087668843915,0.527417724814172,6,0.009868945222404656,0.0023014835848964845,0.006955915123883338,0.013797504880214537,6,0.1983833063334295,0.17012033256594541,0.038190946499966544,0.45030549690015653,6,7.090508379997061,1.2471211301561775,5.531663081673183,8.24844088256628,6,17.166666666666668,0.40824829046386263,17,18,6
GO1_A01_2014,38.3320081736897,11.500433034098506,19.031397460890386,68.1423218589547,60,3.0325912649659132,0.6194569804593599,1.5227986839375092,4.362368870171533,60,0.08565954000870514,0.027330658266786705,0.02596853422232524,0.14559144480447675,60,0.18576677191501156,0.062367268471299954,0.016616541199870712,0.22322103040007574,60,0.0,0.0,0.0,0.0,60,0.0,0.0,0,0,60
GO1_A01_2018,25.988811049643466,6.459007240176809,11.168935579346556,48.56446155359682,60,1.1220256069187389,0.5028403700775806,0.5335604568453628,4.5878653197682935,60,0.04624508544855401,0.03252373295458847,0.0179634390570104,0.28184000328655856,60,0.18510855978673893,0.0623127399103902,0.01659182280025666,0.22253777460003518,60,9.302701941578055,1.0548659729689644,7.432647084875118,11.127531093850754,60,20.3,2.0277732631583,12,21,60
HUM_A01_2013,54.43497366469973,12.851511460007643,29.043403867358627,73.71585918671367,12,0.6691448473235265,0.3042547711966604,0.2690087505074026,1.4076127217475292,12,0.012363476333229574,0.005810218843776809,0.00926230106278062,0.029710566240092412,12,0.45086266900025934,0.3192084237167758,0.05324963260002416,0.8879011209001407,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0,0,12
HUM_A01_2018,25.342370230553524,1.8946927838289083,20.957157769907756,27.327143692908148,12,0.2208177228540594,0.10285537365161193,0.15309465864110094,0.5160231231960866,12,0.009022081923451214,0.00532987735652056,0.005602292737269558,0.0246227627267778,12,0.44878424885014084,0.18207244677855017,0.1482104125999368,0.711282887100962,12,11.044192326466352,0.2902945430478029,10.709647145636493,11.49002856356253,12,20.916666666666668,0.2886751345948128,20,21,12
JAC_A01_2015,71.90329406920108,9.079409088761807,59.29752978023962,86.5887435359261,8,0.4304811969179247,0.07368004512061943,0.34112155603593647,0.5228957047644597,8,0.00605707749655143,0.001167170040654282,0.004016834407024891,0.00770217937343673,8,0.3776111976251327,0.1572760181572844,0.1853670390001731,0.6006739932001273,8,8.209083456496797,0.19152691709847885,7.95932675580048,8.516088964959215,8,23.25,1.4880476182856899,21,25,8
JAC_A02_2015,67.04411462881164,3.7974440315784017,63.523101684399585,74.21658839149856,6,0.35733939400417647,0.038157042523179245,0.31471944152023723,0.4133063991092273,6,0.005344273190346354,0.000635967814485042,0.004401426915020852,0.006123666068218897,6,0.3928396430501417,0.17533847848458406,0.08922821540044536,0.49998500010010244,6,8.092408473174956,0.1181951127903523,7.9254205985723845,8.272088167847485,6,21.5,2.073644135332772,19,24,6
JAC_A03_2015,56.79577613999993,5.117669773203627,48.83373303045859,62.177835428965885,6,0.3497364097541426,0.029454826575998187,0.307396115742261,0.38322790856031375,6,0.006238712380112879,0.0010877137077507752,0.004943821437680007,0.007763175127733644,6,0.3632160688666351,0.3700843270740656,0.03602632440000501,0.8992910070001894,6,8.05229738099508,0.3156132816836015,7.470649053737927,8.401871569908808,6,18.666666666666668,1.8618986725025257,17,21,6
