class,DTPM_mean,DTPM_std,DTPM_min,DTPM_max,DTPM_count,DGPM_mean,DGPM_std,DGPM_min,DGPM_max,DGPM_count,GF_mean,GF_std,GF_min,GF_max,GF_count,AKM2_mean,AKM2_std,AKM2_min,AKM2_max,AKM2_count,MSAN_mean,MSAN_std,MSAN_min,MSAN_max,MSAN_count,MXSAN_mean,MXSAN_std,MXSAN_min,MXSAN_max,MXSAN_count
FNC_A03,11.378526917449918,2.2904206338978597,8.86547041962476,13.573316733740175,4,0.1434667098103971,0.013312033223588492,0.1278708860859347,0.1567503368368275,4,0.012826861286883595,0.001449122390674859,0.01154841811413579,0.014423474450140566,4,0.33245534092504786,0.3861537373582829,0.023529642499975512,0.8432900539001825,4,11.743354323861613,1.368369049866547,10.176453716719035,12.902530812948843,4,23.75,3.774917217635374,20,27,4
FNC_A04,10.127895858705964,3.677071364865103,5.848406891981242,13.857366067347243,6,0.12339932459615255,0.13969493782051945,0.0,0.37798863395953486,6,0.013460730354384417,0.016661445499380825,0.0,0.0452131276861977,6,0.19666456648324462,0.33391802707695956,0.0003022008000033694,0.8557514424002006,6,12.694861856524673,0.8911000190173448,11.098934925404889,13.370989404820195,6,24.333333333333332,2.8047578623950176,20,27,6
FND_A01,7.59273608484673,0.9604240393379515,6.042525199740826,8.688086158781251,5,0.15954246518141668,0.022291402996138472,0.13137446686656465,0.19023512553838842,5,0.02124096243493491,0.0035712036057536077,0.01674450400762427,0.02483584899663143,5,0.5874228489801409,0.3173701193123018,0.042359608200058234,0.8213117868002904,5,13.18664641800583,0.36905073204338146,12.607753585535184,13.513195619699808,5,26.8,0.44721359549995765,26,27,5
FND_A02,9.206995828207926,2.149684941533267,6.505921000097701,11.21611941222355,4,0.10324087932907972,0.04015916995177025,0.06012258399227774,0.14224037280886195,4,0.011947140013244022,0.006336384749133121,0.006987954956742645,0.02032345970249694,4,0.26759843420000007,0.2934989659773998,0.02702811309987472,0.6753065585005592,4,13.34379392434078,0.6075694386353001,12.514711357927535,13.976903394699963,4,27.0,0.0,27,27,4
FND_A03,9.711155280212418,2.5515823691867094,5.5333909196805475,13.473452467699124,12,0.14218005683339352,0.03671105268094212,0.079488903062327,0.1961249224787951,12,0.014909174151843703,0.002697912029307152,0.010428270736024293,0.019710715196560643,12,0.5233682401335911,0.30231350825817893,0.004620194100121776,0.9999800001002142,12,12.875505101797932,0.7069728086740317,11.276314351295223,13.534425755220575,12,27.083333333333332,1.7816403745544238,22,29,12
FST_A01,21.46492748392991,7.641954010680761,11.136054354647337,33.57529150246533,20,0.31205025216696564,0.13920090534109172,0.1393651743272613,0.5250004999573866,20,0.014347843062215,0.0035542071273984583,0.008665702723930352,0.0243513882567137,20,0.6728135081200814,0.39065311279093734,0.0001483045000045253,0.9999800001002142,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0,0,20
FST_A01a,48.907506625546645,12.731829072118217,29.97378816557417,69.38843341396318,11,0.5800785759628864,0.2488529249078716,0.3363646010129513,0.9695892410636593,11,0.012985130136521483,0.006692979630960873,0.0053040390141086535,0.023095472808178558,11,0.3961642049271889,0.28217644075630205,0.08494655349984609,0.8200617993002485,11,9.116695228740987,0.9523690967186654,8.0450910472778,10.318068222424722,11,19.363636363636363,1.9116865471476892,17,21,11
FST_A01b,45.99007997854837,6.299481525644206,38.50773405469202,52.446561937052344,6,0.8812307359926091,0.10833098464429522,0.7579235171162573,1.0093638056445629,6,0.019279049492806444,0.002087893064033734,0.01715643337218244,0.023228912807403773,6,0.3289828113166748,0.27711782818686703,0.07188431279982618,0.807371926200185,6,9.586534366700105,0.5378807740403991,8.759779805801953,10.041604013139635,6,21.0,0.0,21,21,6
FST_A02,40.80530660816934,4.395156861421929,35.550371217428705,46.54411852200666,8,1.0040355863563093,0.1380144025794065,0.7953867586559853,1.1495609215273337,8,0.02486955889448269,0.004446553072664364,0.018063399095353826,0.03173261158758316,8,0.21677302836246548,0.18984741954098677,0.027090996999993042,0.4401655983000239,8,8.494564871298673,1.6446454633910121,6.686847520064962,10.195548034543958,8,18.625,3.3779748793788102,13,21,8
FST_A03,47.79331999961123,4.803535194257021,40.921146767862915,58.02687314142355,22,0.6438906535843917,0.2434844353632323,0.31235487767311404,1.0813736830862815,22,0.013727273199566858,0.005598561083443904,0.006078614875969919,0.025466042219118454,22,0.18356113450001238,0.1030665260670547,0.0035464787998412167,0.281467185300035,22,8.660445829738487,1.0035994669531807,7.6371604812433,10.273413126233333,22,18.863636363636363,2.076981659488791,16,21,22
